direction,database,pathway,nominal_sig,FDR_sig,classification
A_higher,GO_BP,L-amino acid metabolic process,TRUE,TRUE,Concordant
A_higher,GO_BP,Peyer's patch development,TRUE,TRUE,Concordant
A_higher,GO_BP,acid secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,TRUE,TRUE,Concordant
A_higher,GO_BP,amide transport,TRUE,TRUE,Concordant
A_higher,GO_BP,axonogenesis,TRUE,TRUE,Concordant
A_higher,GO_BP,"blood coagulation, fibrin clot formation",TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to BMP stimulus,TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to cadmium ion,TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to copper ion,TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to metal ion,TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to xenobiotic stimulus,TRUE,TRUE,Concordant
A_higher,GO_BP,cellular response to zinc ion,TRUE,TRUE,Concordant
A_higher,GO_BP,detoxification,TRUE,TRUE,Concordant
A_higher,GO_BP,detoxification of copper ion,TRUE,TRUE,Concordant
A_higher,GO_BP,detoxification of inorganic compound,TRUE,TRUE,Concordant
A_higher,GO_BP,digestion,TRUE,FALSE,Nominal-only
A_higher,GO_BP,digestive system development,TRUE,TRUE,Concordant
A_higher,GO_BP,ear development,TRUE,TRUE,Concordant
A_higher,GO_BP,ear morphogenesis,TRUE,TRUE,Concordant
A_higher,GO_BP,fibrinolysis,TRUE,TRUE,Concordant
A_higher,GO_BP,gastric acid secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,glial cell-derived neurotrophic factor receptor signaling pathway,TRUE,TRUE,Concordant
A_higher,GO_BP,glomerular basement membrane development,TRUE,TRUE,Concordant
A_higher,GO_BP,glycoprotein biosynthetic process,TRUE,TRUE,Concordant
A_higher,GO_BP,heart contraction,TRUE,TRUE,Concordant
A_higher,GO_BP,heart process,TRUE,TRUE,Concordant
A_higher,GO_BP,hormone secretion,TRUE,TRUE,Concordant
A_higher,GO_BP,hormone transport,TRUE,TRUE,Concordant
A_higher,GO_BP,import across plasma membrane,TRUE,TRUE,Concordant
A_higher,GO_BP,inner ear development,TRUE,TRUE,Concordant
A_higher,GO_BP,inner ear morphogenesis,TRUE,TRUE,Concordant
A_higher,GO_BP,inorganic cation import across plasma membrane,TRUE,TRUE,Concordant
A_higher,GO_BP,inorganic ion import across plasma membrane,TRUE,TRUE,Concordant
A_higher,GO_BP,intracellular zinc ion homeostasis,TRUE,TRUE,Concordant
A_higher,GO_BP,kidney development,TRUE,TRUE,Concordant
A_higher,GO_BP,kidney epithelium development,TRUE,TRUE,Concordant
A_higher,GO_BP,modified amino acid metabolic process,TRUE,TRUE,Concordant
